,topleft,topright,bottomleft,bottomright,radius
1083,"{'x': -80.81331190624998, 'y': 35.05472948437501}","{'x': -80.81861412499998, 'y': 35.05472948437501}","{'x': -80.81331190624998, 'y': 35.048793843750005}","{'x': -80.81861412499998, 'y': 35.048793843750005}",408.8275012469749
1084,"{'x': -80.79739924999998, 'y': 35.06066712500001}","{'x': -80.80270296874998, 'y': 35.06066712500001}","{'x': -80.79739924999998, 'y': 35.05473048437501}","{'x': -80.80270296874998, 'y': 35.05473048437501}",408.9023175516146
1085,"{'x': -80.80270396874998, 'y': 35.06066712500001}","{'x': -80.80800668749998, 'y': 35.06066712500001}","{'x': -80.80270396874998, 'y': 35.05473048437501}","{'x': -80.80800668749998, 'y': 35.05473048437501}",408.87545518337765
1086,"{'x': -80.79739924999998, 'y': 35.05472948437501}","{'x': -80.80270296874998, 'y': 35.05472948437501}","{'x': -80.79739924999998, 'y': 35.048793843750005}","{'x': -80.80270296874998, 'y': 35.048793843750005}",408.8678028242351
1087,"{'x': -80.80270396874998, 'y': 35.05472948437501}","{'x': -80.80800668749998, 'y': 35.05472948437501}","{'x': -80.80270396874998, 'y': 35.048793843750005}","{'x': -80.80800668749998, 'y': 35.048793843750005}",408.8409342810748
1088,"{'x': -80.78679206249998, 'y': 35.02504578125}","{'x': -80.79209515624999, 'y': 35.02504578125}","{'x': -80.78679206249998, 'y': 35.019109890625}","{'x': -80.79209515624999, 'y': 35.019109890625}",408.9140045418809
1089,"{'x': -80.79209615624998, 'y': 35.02504578125}","{'x': -80.79739824999999, 'y': 35.02504578125}","{'x': -80.79209615624998, 'y': 35.019109890625}","{'x': -80.79739824999999, 'y': 35.019109890625}",408.8871226753348
1090,"{'x': -80.78679206249998, 'y': 35.019108890625006}","{'x': -80.79209515624999, 'y': 35.019108890625006}","{'x': -80.78679206249998, 'y': 35.013174}","{'x': -80.79209515624999, 'y': 35.013174}",408.87948805504635
1091,"{'x': -80.79209615624998, 'y': 35.019108890625006}","{'x': -80.79739824999999, 'y': 35.019108890625006}","{'x': -80.79209615624998, 'y': 35.013174}","{'x': -80.79739824999999, 'y': 35.013174}",408.8526000147052
1092,"{'x': -80.77618387499999, 'y': 35.02504578125}","{'x': -80.78148746874999, 'y': 35.02504578125}","{'x': -80.77618387499999, 'y': 35.019109890625}","{'x': -80.78148746874999, 'y': 35.019109890625}",408.9274467134375
1093,"{'x': -80.78148846874998, 'y': 35.02504578125}","{'x': -80.78679106249999, 'y': 35.02504578125}","{'x': -80.78148846874998, 'y': 35.019109890625}","{'x': -80.78679106249999, 'y': 35.019109890625}",408.9005631958196
1094,"{'x': -80.77618387499999, 'y': 35.019108890625006}","{'x': -80.78148746874999, 'y': 35.019108890625006}","{'x': -80.77618387499999, 'y': 35.013174}","{'x': -80.78148746874999, 'y': 35.013174}",408.8929333135765
1095,"{'x': -80.78148846874998, 'y': 35.019108890625006}","{'x': -80.78679106249999, 'y': 35.019108890625006}","{'x': -80.78148846874998, 'y': 35.013174}","{'x': -80.78679106249999, 'y': 35.013174}",408.866043622062
1096,"{'x': -80.78679206249998, 'y': 35.0369195625}","{'x': -80.79209515624999, 'y': 35.0369195625}","{'x': -80.78679206249998, 'y': 35.030983171875}","{'x': -80.79209515624999, 'y': 35.030983171875}",408.91573390727075
1097,"{'x': -80.79209615624998, 'y': 35.0369195625}","{'x': -80.79739824999999, 'y': 35.0369195625}","{'x': -80.79209615624998, 'y': 35.030983171875}","{'x': -80.79739824999999, 'y': 35.030983171875}",408.88885996355936
1098,"{'x': -80.78679206249998, 'y': 35.030982171875}","{'x': -80.79209515624999, 'y': 35.030982171875}","{'x': -80.78679206249998, 'y': 35.02504678125}","{'x': -80.79209515624999, 'y': 35.02504678125}",408.8812162146549
1099,"{'x': -80.79209615624998, 'y': 35.030982171875}","{'x': -80.79739824999999, 'y': 35.030982171875}","{'x': -80.79209615624998, 'y': 35.02504678125}","{'x': -80.79739824999999, 'y': 35.02504678125}",408.85433609684804
